,model,ablation,predicted,fold,fold_id,type,subject,joint,polDegree,FNO_batch,FNO_nbMod,FNO_nbHC,FNO_maxIt,fitTime,posRMSE,velRMSE,posAAE,velAAE,tauRMSE,tauAAE,pErrMax,vErrMax,pErrStd,vErrStd,tauErrMax,tauErrStd
50,MVPR,anthropo,vel,2-fold,fold1,eval,S7_c,shoulder,2,,,,,4.7488789558410645,,0.005089442120386,,0.0041265368894311,,,,0.0164389866371352,,0.0050892281960766,,
51,MVPR,anthropo,vel,2-fold,fold1,eval,S7_c,elbow,2,,,,,4.7488789558410645,,0.0048155745181014,,0.0037405859660612,,,,0.0212708679480943,,0.0048061966084127,,
52,MVPR,anthropo,vel,2-fold,fold1,eval,S9_c,shoulder,2,,,,,4.7488789558410645,,0.0057610702344743,,0.0047937089243815,,,,0.0175852927488623,,0.0057582598900666,,
53,MVPR,anthropo,vel,2-fold,fold1,eval,S9_c,elbow,2,,,,,4.7488789558410645,,0.0055173014796321,,0.0043100612321507,,,,0.0177077689391147,,0.0054783011375761,,
54,MVPR,anthropo,vel,2-fold,fold2,train,S03_a,shoulder,2,,,,,6.193728685379028,,0.003520859172546,,0.0028180647102791,,,,0.0166279008584507,,0.0035193487884686,,
55,MVPR,anthropo,vel,2-fold,fold2,train,S03_a,elbow,2,,,,,6.193728685379028,,0.003994309372018,,0.0030959234165509,,,,0.0176119056320349,,0.0039509693509506,,
56,MVPR,anthropo,vel,2-fold,fold2,train,S05_a,shoulder,2,,,,,6.193728685379028,,0.0023360943645547,,0.0018192121684703,,,,0.0106769050895764,,0.0023327094523655,,
57,MVPR,anthropo,vel,2-fold,fold2,train,S05_a,elbow,2,,,,,6.193728685379028,,0.003526624597189,,0.002691163721874,,,,0.0161541601114993,,0.0035197667876266,,
58,MVPR,anthropo,vel,2-fold,fold2,train,S06_a,shoulder,2,,,,,6.193728685379028,,0.0023432762368083,,0.0018166627558068,,,,0.0178193956748348,,0.0023411409450721,,
59,MVPR,anthropo,vel,2-fold,fold2,train,S06_a,elbow,2,,,,,6.193728685379028,,0.003311915370214,,0.0027114477226747,,,,0.0134331843949201,,0.0031833985191573,,
60,MVPR,anthropo,vel,2-fold,fold2,train,S10_a,shoulder,2,,,,,6.193728685379028,,0.0016150158017267,,0.0012550366791001,,,,0.0084887721077901,,0.0016150075909219,,
61,MVPR,anthropo,vel,2-fold,fold2,train,S10_a,elbow,2,,,,,6.193728685379028,,0.0019156366664511,,0.0015107448686193,,,,0.0096978751603367,,0.0019095005210727,,
62,MVPR,anthropo,vel,2-fold,fold2,train,S12_a,shoulder,2,,,,,6.193728685379028,,0.0027123843659938,,0.0021542940026978,,,,0.0162704376646994,,0.0026978181305702,,
63,MVPR,anthropo,vel,2-fold,fold2,train,S12_a,elbow,2,,,,,6.193728685379028,,0.0033916888469367,,0.0027613119305502,,,,0.0213564475291781,,0.0032970017028265,,
64,MVPR,anthropo,vel,2-fold,fold2,train,S13_c,shoulder,2,,,,,6.193728685379028,,0.0056553643024772,,0.0045135410945487,,,,0.0196549083614502,,0.0056532519290156,,
65,MVPR,anthropo,vel,2-fold,fold2,train,S13_c,elbow,2,,,,,6.193728685379028,,0.0060092812634461,,0.0047195212411016,,,,0.0238437469562631,,0.0060045688913047,,
66,MVPR,anthropo,vel,2-fold,fold2,train,S14_c,shoulder,2,,,,,6.193728685379028,,0.0063711822564676,,0.0053683898637604,,,,0.0217215041260912,,0.0063711447999184,,
67,MVPR,anthropo,vel,2-fold,fold2,train,S14_c,elbow,2,,,,,6.193728685379028,,0.0063847286498025,,0.0048932572423063,,,,0.0256347615888497,,0.0063837879146683,,
68,MVPR,anthropo,vel,2-fold,fold2,train,S15_c,shoulder,2,,,,,6.193728685379028,,0.0057076530167752,,0.0048519359967151,,,,0.0180102330561716,,0.0057009636442833,,
69,MVPR,anthropo,vel,2-fold,fold2,train,S15_c,elbow,2,,,,,6.193728685379028,,0.0052502785847563,,0.0042463940414292,,,,0.0240568412222692,,0.0052386730016847,,
70,MVPR,anthropo,vel,2-fold,fold2,train,S16_c,shoulder,2,,,,,6.193728685379028,,0.0042435185264756,,0.0033444894114095,,,,0.0211636728144065,,0.0042421782975993,,
71,MVPR,anthropo,vel,2-fold,fold2,train,S16_c,elbow,2,,,,,6.193728685379028,,0.0051028781666099,,0.0040291772314857,,,,0.0196424816686368,,0.0050825566498382,,
72,MVPR,anthropo,vel,2-fold,fold2,train,S17_c,shoulder,2,,,,,6.193728685379028,,0.0054033930973386,,0.0044669480434316,,,,0.0161171520453422,,0.005402427643531,,
73,MVPR,anthropo,vel,2-fold,fold2,train,S17_c,elbow,2,,,,,6.193728685379028,,0.0051605811272025,,0.0041234307406097,,,,0.018807748003627,,0.0051605445987026,,
74,MVPR,anthropo,vel,2-fold,fold2,train,S2_c,shoulder,2,,,,,6.193728685379028,,0.0044804376273399,,0.0035177965642737,,,,0.0171343208081175,,0.0044602972565891,,
