,model,ablation,predicted,fold,fold_id,type,dataType,subject,joint,polDegree,FNO_shuff,FNO_batch,FNO_nbMod,FNO_nbHC,FNO_maxIt,fitTime,posRMSE,velRMSE,posAAE,velAAE,tauRMSE,tauAAE,pErrMax,vErrMax,pErrStd,vErrStd,tauErrMax,tauErrStd
41,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S15_c,elbow,,,,,,,0.0313310623168945,,0.0050001245232047,,0.0040471248355338,,,,0.0222650524796127,,0.0050000844863822,,
42,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S16_c,shoulder,,,,,,,0.0313310623168945,,0.0041322419948518,,0.0032528871294977,,,,0.020519864576793,,0.004129264645291,,
43,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S16_c,elbow,,,,,,,0.0313310623168945,,0.0047792181878301,,0.0038041595217872,,,,0.0177677986044133,,0.0047759098589892,,
44,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S17_c,shoulder,,,,,,,0.0313310623168945,,0.0053664350644627,,0.0044681934017018,,,,0.0154649485308618,,0.0053656432922284,,
45,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S17_c,elbow,,,,,,,0.0313310623168945,,0.00497288168463,,0.0040052888507964,,,,0.0184375870550823,,0.004971868711935,,
46,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S2_c,shoulder,,,,,,,0.0313310623168945,,0.0043777110284838,,0.0033971362696954,,,,0.0147866170717822,,0.0043763382504424,,
47,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S2_c,elbow,,,,,,,0.0313310623168945,,0.0048519827692808,,0.0038143902976314,,,,0.0154355135167951,,0.0048485968092804,,
48,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S4_c,shoulder,,,,,,,0.0313310623168945,,0.0057775770351284,,0.0047083057818836,,,,0.021712185042174,,0.0057753438708539,,
49,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S4_c,elbow,,,,,,,0.0313310623168945,,0.0083331955120332,,0.0064818843250987,,,,0.038217363362532,,0.0083317950095801,,
50,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S7_c,shoulder,,,,,,,0.0313310623168945,,0.0050905367452194,,0.0041451497618968,,,,0.0162010544564585,,0.0050893876374638,,
51,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S7_c,elbow,,,,,,,0.0313310623168945,,0.004600768730256,,0.0036096862527078,,,,0.020337219569909,,0.0046005796529674,,
52,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S9_c,shoulder,,,,,,,0.0313310623168945,,0.0056998122974414,,0.0047544724952752,,,,0.0172868245763886,,0.0056997271942276,,
53,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S9_c,elbow,,,,,,,0.0313310623168945,,0.0051686053817019,,0.0039570713735442,,,,0.0172469737098527,,0.005168591124006,,
54,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S03_a,shoulder,,,,,,,0.0362591743469238,,0.0146320002293267,,0.013254842990236,,,,0.0288232783605677,,0.0146319308111604,,
55,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S03_a,elbow,,,,,,,0.0362591743469238,,0.0128334888597702,,0.0109641252423918,,,,0.033992487732549,,0.0128326487026965,,
56,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S05_a,shoulder,,,,,,,0.0362591743469238,,0.0097067440641941,,0.0088776616210676,,,,0.023346846369444,,0.0097036323934509,,
57,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S05_a,elbow,,,,,,,0.0362591743469238,,0.0085069640329038,,0.0070217952321383,,,,0.0281427650908732,,0.0085069542945446,,
58,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S06_a,shoulder,,,,,,,0.0362591743469238,,0.011990786262512,,0.0109243537743866,,,,0.0280045308855571,,0.0119901454146437,,
59,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S06_a,elbow,,,,,,,0.0362591743469238,,0.0098280008894052,,0.0084326879710035,,,,0.0267591091059151,,0.0098279116510808,,
60,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S10_a,shoulder,,,,,,,0.0362591743469238,,0.00722488242016,,0.0064756785541169,,,,0.0199635518803887,,0.007221488992488,,
61,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S10_a,elbow,,,,,,,0.0362591743469238,,0.0049293075179163,,0.0041709277957575,,,,0.0154194131205166,,0.004928863998733,,
62,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S12_a,shoulder,,,,,,,0.0362591743469238,,0.0116692074630296,,0.0102594661166913,,,,0.0251647529210666,,0.0116677058347577,,
63,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S12_a,elbow,,,,,,,0.0362591743469238,,0.0079905621468374,,0.0062132225935804,,,,0.0261490890418593,,0.0079897452860185,,
64,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S13_c,shoulder,,,,,,,0.0362591743469238,,0.0056149631547154,,0.004473070827553,,,,0.0194188081165165,,0.0056142017029405,,
65,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S13_c,elbow,,,,,,,0.0362591743469238,,0.0058581974469629,,0.0046580686820112,,,,0.0223571480300287,,0.0058571108357541,,
66,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S14_c,shoulder,,,,,,,0.0362591743469238,,0.0064160946319876,,0.0054273396120995,,,,0.0205394724555897,,0.0064158864333805,,
67,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S14_c,elbow,,,,,,,0.0362591743469238,,0.0063059211231595,,0.0048299048754726,,,,0.0251542525441175,,0.0063057690917747,,
68,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S15_c,shoulder,,,,,,,0.0362591743469238,,0.0056733805423982,,0.0048264661872345,,,,0.0182964933595249,,0.0056728976444659,,
69,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S15_c,elbow,,,,,,,0.0362591743469238,,0.0049962712763068,,0.0040441836290609,,,,0.0222505528254305,,0.0049958628820708,,
70,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S16_c,shoulder,,,,,,,0.0362591743469238,,0.0041280352300229,,0.003250889918121,,,,0.0204302116985547,,0.0041268816624837,,
71,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S16_c,elbow,,,,,,,0.0362591743469238,,0.0047783623143309,,0.003807233393481,,,,0.0176898858804097,,0.0047764989956052,,
72,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S17_c,shoulder,,,,,,,0.0362591743469238,,0.0053635712176532,,0.0044620246492499,,,,0.0153809315589891,,0.0053634749860536,,
73,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S17_c,elbow,,,,,,,0.0362591743469238,,0.0049721674292595,,0.0040052296440269,,,,0.0184826716690487,,0.0049718067188659,,
74,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S2_c,shoulder,,,,,,,0.0362591743469238,,0.0043742545966292,,0.0033903654247904,,,,0.0147609895349189,,0.0043733209201433,,
75,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S2_c,elbow,,,,,,,0.0362591743469238,,0.0048490382051286,,0.0038146297100101,,,,0.0155127744271548,,0.0048478770111774,,
76,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S4_c,shoulder,,,,,,,0.0362591743469238,,0.0057753339697742,,0.0047078603521958,,,,0.0218071611626048,,0.0057722771362138,,
77,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S4_c,elbow,,,,,,,0.0362591743469238,,0.0083310060227734,,0.0064794924345782,,,,0.0380958218286951,,0.008330919304553,,
78,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S7_c,shoulder,,,,,,,0.0362591743469238,,0.005077220994345,,0.004130953352807,,,,0.0160236487512427,,0.0050767971833634,,
79,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S7_c,elbow,,,,,,,0.0362591743469238,,0.0046005025488384,,0.0036096003623352,,,,0.0203807852523781,,0.0046004987849946,,
80,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S9_c,shoulder,,,,,,,0.0362591743469238,,0.0056984114016909,,0.0047504021322988,,,,0.0172206108576355,,0.0056983975788131,,
81,MVLR,all_but_pos,vel,2-fold,fold2,train,FULL,S9_c,elbow,,,,,,,0.0362591743469238,,0.0051653389365785,,0.0039552164792139,,,,0.0172099335517535,,0.0051652405656025,,
82,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S01_a,shoulder,,,,,,,0.0362591743469238,,0.0138048954998177,,0.0126970889408598,,,,0.0291124112332272,,0.0138048596528355,,
83,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S01_a,elbow,,,,,,,0.0362591743469238,,0.0101192965789145,,0.0086015882875416,,,,0.0276106453763131,,0.0101192150053713,,
84,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S02_a,shoulder,,,,,,,0.0362591743469238,,0.0103941700364442,,0.0093638797492627,,,,0.0240036757635789,,0.0103931785944738,,
85,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S02_a,elbow,,,,,,,0.0362591743469238,,0.0072497004591927,,0.006045465247903,,,,0.0251179766854224,,0.007249694801764,,
86,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S04_a,shoulder,,,,,,,0.0362591743469238,,0.0121762514120841,,0.0107166056026099,,,,0.0286833904628066,,0.0121762191931652,,
87,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S04_a,elbow,,,,,,,0.0362591743469238,,0.011047197331834,,0.0092649813126508,,,,0.0300040774721805,,0.0110436506383004,,
88,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S09_a,shoulder,,,,,,,0.0362591743469238,,0.0118243941067331,,0.0096907066252776,,,,0.0319544988248052,,0.0118017773447905,,
89,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S09_a,elbow,,,,,,,0.0362591743469238,,0.0109170869196727,,0.008965454425116,,,,0.0305438069524732,,0.0109060074564229,,
